route_id;route_long_name;route_color;trip_id;service_id;direction_id;stop_sequence;stop_name;stop_lat;stop_lon;location_type;shape_pt_sequence;shape_id
1;Blok M - Kota;D62126;1-R07;SH;0;0;Blok M;-6.243312;106.80175;0;1;usj3
1;Blok M - Kota;D62126;1-R08;SH;1;0;Kali Besar Barat;-6.135355;106.81143;0;1;mlcx
1;Blok M - Kota;D62126;1-R07;SH;0;1;Asean;-6.239911;106.79897;0;1;usj3
1;Blok M - Kota;D62126;1-R08;SH;1;1;Museum Fatahillah;-6.133882;106.81214;0;1;mlcx
1;Blok M - Kota;D62126;1-R08;SH;1;2;Kota;-6.136827;106.814876;0;1;mlcx
1;Blok M - Kota;D62126;1-R07;SH;0;2;Masjid Agung;-6.236472;106.798412;0;1;usj3
1;Blok M - Kota;D62126;1-R07;SH;0;3;Bundaran Senayan K-L-M;-6.227766;106.800954;0;1;usj3
1;Blok M - Kota;D62126;1-R08;SH;1;3;Glodok;-6.144438;106.815498;0;1;mlcx
1;Blok M - Kota;D62126;1-R07;SH;0;4;Gelora Bung Karno;-6.224137;106.805837;0;1;usj3
1;Blok M - Kota;D62126;1-R08;SH;1;4;Olimo;-6.149291;106.816732;0;1;mlcx
1;Blok M - Kota;D62126;1-R08;SH;1;5;Mangga Besar;-6.153256;106.817543;0;1;mlcx
1;Blok M - Kota;D62126;1-R07;SH;0;5;Polda Metro Jaya;-6.221044;106.810241;0;1;usj3
1;Blok M - Kota;D62126;1-R07;SH;0;6;Karet Sudirman D-E-F;-6.212352;106.819981;0;1;usj3
1;Blok M - Kota;D62126;1-R08;SH;1;6;Sawah Besar;-6.157366;106.818702;0;1;mlcx
1;Blok M - Kota;D62126;1-R08;SH;1;7;Harmoni;-6.162764;106.819961;0;1;mlcx
1;Blok M - Kota;D62126;1-R07;SH;0;7;Dukuh Atas 1;-6.205621;106.822203;0;1;usj3
1;Blok M - Kota;D62126;1-R08;SH;1;8;Monas;-6.176252;106.822922;0;1;mlcx
1;Blok M - Kota;D62126;1-R07;SH;0;8;Tosari;-6.196742;106.823051;0;1;usj3
1;Blok M - Kota;D62126;1-R08;SH;1;9;Bank Indonesia Arah Selatan;-6.184784;106.82326;0;1;mlcx
