stops_name,location
18 Office Park,SJ
ABA,CJ
ACC Simatupang,SJ
ACE Hardware,D
AKR Tower,WJ
ASEAN,SJ
ASMI,NJ
ASMI 2,EJ
ASSA,NJ
AURI Jatibaru,CJ
Acacia Residence,SJ
Adam Malik,SJ
Adam Malik 1,SJ
Ahmad Yani Bea Cukai,EJ
Ahmad Yani Bea Cukai 1,EJ
Ahmad Yani Pisangan Baru,EJ
Akademi Farmasi Mahadhika,EJ
Akper Fatmawati Pondok Labu,SJ
Akses Jembatan Ciliwung Balekambang,EJ
Al Izhar Pondok Labu 2,SJ
Al Khairiyah School,EJ
Al Mahbubiyah,SJ
Al Mukhlisin,NJ
Al Wathoniyah 1,EJ
Al Wathoniyah 2,EJ
Al-Wathoniyah,EJ
Allianz,SJ
Ambassador,SJ
Ampera 1,SJ
Ampera 2,SJ
Ampera 3,SJ
Ampera 4,SJ
Ampera Garden,SJ
Ampera Yos Sudarso,NJ
Ananda Pulo Gadung,EJ
Ancol,NJ
Ancol Pintu 2,NJ
Andara Margasatwa 1,SJ
Andara Margasatwa 2,SJ
Andara Margasatwa 3,SJ
Andara Margasatwa 4,SJ
Aneka Apotek,NJ
Aneka PIK Penggilingan,EJ
Antena II,SJ
Antena III,SJ
Apartemen Kedoya Elok 2,WJ
Apartemen Simprug Teras,SJ
Apotik Emilia Rawamangun,EJ
Apotik Rini Rawamangun,EJ
Ariobimo Sentral,SJ
Arion Mall,EJ
Arsip Nasional RI 1,SJ
Arsip Nasional RI 2,SJ
Asrama Marinir Marunda 1,NJ
Asrama Marinir Marunda 2,NJ
Asshomadiyah Medicare Centre 2,EJ
Astek,ST
Aston Pluit 1,NJ
Aston Pluit 2,NJ
At Thahiriah 1,EJ
At Thahiriah 2,EJ
Atrium,CJ
Atrium 1,CJ
Atrium 2,CJ
Aula Simfonia,NJ
Auto 2000,SJ
Awab Dalam,EJ
Azhari Islamic School 1,SJ
BBPK Jakarta,SJ
BKKBN 1,EJ
BKKBN 2,EJ
BKN,EJ
BKN 1,EJ
BNI Syariah,SJ
BNN Arah Barat,EJ
BNN Arah Timur,EJ
BNN Jakarta Utara,NJ
BNN LRT,EJ
BPHN,EJ
BPJS Kesehatan Sultan Hasanudin,SJ
BPJS Ketenagakerjaan Marunda,NJ
BPPK Jakarta,CJ
BRI Jakarta Kota,WJ
BRI Menteng,CJ
BSI 1,SJ
